Measurement_ID,SampPoint_ID,Fecha,Hora,Depth,Variable_ID,Valor,Censoring_ID,Method_ID,QC_ID,Monitoring_ID
2214589,SAU_C1,2012-07-03,NULL,0,DOC,275.248,0,"TOC analyzer - ATL",1,ATL
2214590,SAU_C1,2012-07-03,NULL,5,DOC,274.082,0,"TOC analyzer - ATL",1,ATL
2214591,SAU_C1,2012-07-03,NULL,10,DOC,223.295,0,"TOC analyzer - ATL",1,ATL
2214592,SAU_C1,2012-07-03,NULL,20,DOC,190.076,0,"TOC analyzer - ATL",1,ATL
2214593,SAU_C1,2012-07-03,NULL,27,DOC,195.737,0,"TOC analyzer - ATL",1,ATL
2214594,SAU_C1,2012-07-03,NULL,35,DOC,211.473,0,"TOC analyzer - ATL",1,ATL
2214595,SAU_C1,2012-07-03,NULL,50,DOC,213.138,0,"TOC analyzer - ATL",1,ATL
2214596,SAU_C1,2012-07-31,NULL,0,DOC,195.321,0,"TOC analyzer - ATL",1,ATL
2214597,SAU_C1,2012-07-31,NULL,5,DOC,166.431,0,"TOC analyzer - ATL",1,ATL
2214598,SAU_C1,2012-07-31,NULL,10,DOC,158.022,0,"TOC analyzer - ATL",1,ATL
2214599,SAU_C1,2012-07-31,NULL,20,DOC,141.953,0,"TOC analyzer - ATL",1,ATL
2214600,SAU_C1,2012-07-31,NULL,30,DOC,199.567,0,"TOC analyzer - ATL",1,ATL
2214601,SAU_C1,2012-07-31,NULL,35,DOC,242.195,0,"TOC analyzer - ATL",1,ATL
2214602,SAU_C1,2012-07-31,NULL,45,DOC,269.336,0,"TOC analyzer - ATL",1,ATL
2214603,SAU_C1,2012-09-05,NULL,0,DOC,229.54,0,"TOC analyzer - ATL",1,ATL
2214604,SAU_C1,2012-09-05,NULL,5,DOC,221.464,0,"TOC analyzer - ATL",1,ATL
2214605,SAU_C1,2012-09-05,NULL,11,DOC,187.745,0,"TOC analyzer - ATL",1,ATL
2214606,SAU_C1,2012-09-05,NULL,13,DOC,163.933,0,"TOC analyzer - ATL",1,ATL
2214607,SAU_C1,2012-09-05,NULL,23,DOC,214.72,0,"TOC analyzer - ATL",1,ATL
2214608,SAU_C1,2012-09-05,NULL,26,DOC,234.951,0,"TOC analyzer - ATL",1,ATL
2214609,SAU_C1,2012-09-05,NULL,41,DOC,282.158,0,"TOC analyzer - ATL",1,ATL
2214610,SAU_C1,2012-10-17,NULL,0,DOC,258.596,0,"TOC analyzer - ATL",1,ATL
2214611,SAU_C1,2012-10-17,NULL,5,DOC,201.149,0,"TOC analyzer - ATL",1,ATL
2214612,SAU_C1,2012-10-17,NULL,15,DOC,197.486,0,"TOC analyzer - ATL",1,ATL
2214613,SAU_C1,2012-10-17,NULL,18,DOC,223.795,0,"TOC analyzer - ATL",1,ATL
2214614,SAU_C1,2012-10-17,NULL,20,DOC,197.319,0,"TOC analyzer - ATL",1,ATL
2214615,SAU_C1,2012-10-17,NULL,25,DOC,205.478,0,"TOC analyzer - ATL",1,ATL
2214616,SAU_C1,2012-10-17,NULL,35,DOC,254.1,0,"TOC analyzer - ATL",1,ATL
2214617,SAU_C1,2012-11-28,NULL,0,DOC,207.81,0,"TOC analyzer - ATL",1,ATL
2214618,SAU_C1,2012-11-28,NULL,5,DOC,182.583,0,"TOC analyzer - ATL",1,ATL
2214619,SAU_C1,2012-11-28,NULL,10,DOC,191.241,0,"TOC analyzer - ATL",1,ATL
2214620,SAU_C1,2012-11-28,NULL,15,DOC,204.562,0,"TOC analyzer - ATL",1,ATL
2214621,SAU_C1,2012-11-28,NULL,20,DOC,184.581,0,"TOC analyzer - ATL",1,ATL
2214622,SAU_C1,2012-11-28,NULL,25,DOC,216.302,0,"TOC analyzer - ATL",1,ATL
2214623,SAU_C1,2012-11-28,NULL,32,DOC,208.309,0,"TOC analyzer - ATL",1,ATL
2214624,SAU_C1,2013-01-15,NULL,0,DOC,178.087,0,"TOC analyzer - ATL",1,ATL
2214625,SAU_C1,2013-01-15,NULL,5,DOC,190.159,0,"TOC analyzer - ATL",1,ATL
2214626,SAU_C1,2013-01-15,NULL,10,DOC,188.827,0,"TOC analyzer - ATL",1,ATL
2214627,SAU_C1,2013-01-15,NULL,23,DOC,223.046,0,"TOC analyzer - ATL",1,ATL
2214628,SAU_C1,2013-01-15,NULL,26,DOC,206.894,0,"TOC analyzer - ATL",1,ATL
2214629,SAU_C1,2013-01-15,NULL,29,DOC,177.004,0,"TOC analyzer - ATL",1,ATL
2214630,SAU_C1,2013-01-15,NULL,35,DOC,168.262,0,"TOC analyzer - ATL",1,ATL
2214631,SAU_C1,2013-02-19,NULL,0,DOC,172.925,0,"TOC analyzer - ATL",1,ATL
2214632,SAU_C1,2013-02-19,NULL,5,DOC,207.476,0,"TOC analyzer - ATL",1,ATL
2214633,SAU_C1,2013-02-19,NULL,15,DOC,203.064,0,"TOC analyzer - ATL",1,ATL
2214634,SAU_C1,2013-02-19,NULL,20,DOC,199.151,0,"TOC analyzer - ATL",1,ATL
2214635,SAU_C1,2013-02-19,NULL,24,DOC,199.9,0,"TOC analyzer - ATL",1,ATL
2214636,SAU_C1,2013-02-19,NULL,27,DOC,191.408,0,"TOC analyzer - ATL",1,ATL
2214637,SAU_C1,2013-02-19,NULL,31,DOC,197.236,0,"TOC analyzer - ATL",1,ATL
2214638,SAU_C1,2013-03-19,NULL,0,DOC,276.663,0,"TOC analyzer - ATL",1,ATL
2214639,SAU_C1,2013-03-19,NULL,7,DOC,299.059,0,"TOC analyzer - ATL",1,ATL
2214640,SAU_C1,2013-03-19,NULL,14,DOC,266.256,0,"TOC analyzer - ATL",1,ATL
2214641,SAU_C1,2013-03-19,NULL,22,DOC,231.038,0,"TOC analyzer - ATL",1,ATL
2214642,SAU_C1,2013-03-19,NULL,28,DOC,204.313,0,"TOC analyzer - ATL",1,ATL
2214643,SAU_C1,2013-03-19,NULL,36,DOC,197.069,0,"TOC analyzer - ATL",1,ATL
2214644,SAU_C1,2013-03-19,NULL,44,DOC,195.82,0,"TOC analyzer - ATL",1,ATL
2214645,SAU_C1,2013-04-10,NULL,0,DOC,301.89,0,"TOC analyzer - ATL",1,ATL
2214646,SAU_C1,2013-04-10,NULL,4,DOC,256.681,0,"TOC analyzer - ATL",1,ATL
2214647,SAU_C1,2013-04-10,NULL,10,DOC,285.572,0,"TOC analyzer - ATL",1,ATL
2214648,SAU_C1,2013-04-10,NULL,15,DOC,302.639,0,"TOC analyzer - ATL",1,ATL
2214649,SAU_C1,2013-04-10,NULL,22,DOC,277.329,0,"TOC analyzer - ATL",1,ATL
2214650,SAU_C1,2013-04-10,NULL,30,DOC,255.016,0,"TOC analyzer - ATL",1,ATL
2214651,SAU_C1,2013-04-10,NULL,50,DOC,232.37,0,"TOC analyzer - ATL",1,ATL
2214652,SAU_C1,2013-05-22,NULL,0,DOC,262.093,0,"TOC analyzer - ATL",1,ATL
2214653,SAU_C1,2013-05-22,NULL,7,DOC,257.68,0,"TOC analyzer - ATL",1,ATL
2214654,SAU_C1,2013-05-22,NULL,10,DOC,299.975,0,"TOC analyzer - ATL",1,ATL
2214655,SAU_C1,2013-05-22,NULL,30,DOC,260.761,0,"TOC analyzer - ATL",1,ATL
2214656,SAU_C1,2013-05-22,NULL,37,DOC,268.67,0,"TOC analyzer - ATL",1,ATL
2214657,SAU_C1,2013-05-22,NULL,46,DOC,253.601,0,"TOC analyzer - ATL",1,ATL
2214658,SAU_C1,2013-05-22,NULL,50,DOC,250.187,0,"TOC analyzer - ATL",1,ATL
2214659,SAU_C1,2013-06-18,NULL,0,DOC,185.663,0,"TOC analyzer - ATL",1,ATL
2214660,SAU_C1,2013-06-18,NULL,3,DOC,188.078,0,"TOC analyzer - ATL",1,ATL
2214661,SAU_C1,2013-06-18,NULL,12,DOC,152.027,0,"TOC analyzer - ATL",1,ATL
2214662,SAU_C1,2013-06-18,NULL,36,DOC,152.444,0,"TOC analyzer - ATL",1,ATL
2214663,SAU_C1,2013-06-18,NULL,42,DOC,192.24,0,"TOC analyzer - ATL",1,ATL
2214664,SAU_C1,2013-06-18,NULL,48,DOC,186.246,0,"TOC analyzer - ATL",1,ATL
2214665,SAU_C1,2013-06-18,NULL,53,DOC,187.828,0,"TOC analyzer - ATL",1,ATL
2214666,SAU_C1,2013-07-16,NULL,0,DOC,296.811,0,"TOC analyzer - ATL",1,ATL
2214667,SAU_C1,2013-07-16,NULL,3,DOC,285.322,0,"TOC analyzer - ATL",1,ATL
2214668,SAU_C1,2013-07-16,NULL,6,DOC,231.288,0,"TOC analyzer - ATL",1,ATL
2214669,SAU_C1,2013-07-16,NULL,14,DOC,181.5,0,"TOC analyzer - ATL",1,ATL
2214670,SAU_C1,2013-07-16,NULL,34,DOC,213.721,0,"TOC analyzer - ATL",1,ATL
2214671,SAU_C1,2013-07-16,NULL,43,DOC,210.474,0,"TOC analyzer - ATL",1,ATL
2214672,SAU_C1,2013-07-16,NULL,50,DOC,255.932,0,"TOC analyzer - ATL",1,ATL
2214673,SAU_C1,2013-08-06,NULL,0,DOC,203.563,0,"TOC analyzer - ATL",1,ATL
2214674,SAU_C1,2013-08-06,NULL,5,DOC,192.657,0,"TOC analyzer - ATL",1,ATL
2214675,SAU_C1,2013-08-06,NULL,20,DOC,186.829,0,"TOC analyzer - ATL",1,ATL
2214676,SAU_C1,2013-08-06,NULL,35,DOC,173.008,0,"TOC analyzer - ATL",1,ATL
2214677,SAU_C1,2013-08-06,NULL,42,DOC,170.76,0,"TOC analyzer - ATL",1,ATL
2214678,SAU_C1,2013-08-06,NULL,52,DOC,237.532,0,"TOC analyzer - ATL",1,ATL
2214679,SAU_C1,2013-09-17,NULL,0,DOC,188.411,0,"TOC analyzer - ATL",1,ATL
2214680,SAU_C1,2013-09-17,NULL,7,DOC,222.546,0,"TOC analyzer - ATL",1,ATL
2214681,SAU_C1,2013-09-17,NULL,14,DOC,184.331,0,"TOC analyzer - ATL",1,ATL
2214682,SAU_C1,2013-09-17,NULL,20,DOC,230.122,0,"TOC analyzer - ATL",1,ATL
