date,fdom
2020-03-01,51
2020-03-02,50.9166666666667
2022-06-10,1.1875
2022-06-11,1.0625
2022-06-12,0.875
2022-06-13,1
2022-06-14,0.8125
2022-06-15,0.9375
2022-06-16,0.8125
2022-06-17,0.9375
2022-06-18,1.1875
2022-06-19,0.875
2022-06-20,1.5
2022-06-21,0.4375
2022-06-22,0.6875
2022-06-23,0.470588235294118
2022-06-24,0.375
2022-06-28,0.166666666666667
2022-06-29,0.75
2022-06-30,1
2022-07-01,1.125
2022-07-02,0.9375
2022-07-03,0.75
2022-07-04,0.75
2022-07-05,0.6875
2022-07-06,0.125
2022-07-07,0.25
2022-07-08,0.5
2022-07-11,0.75
2022-07-12,0.8125
2022-07-13,0.8125
2022-07-14,1
2022-07-15,0.6875
2022-07-16,1.125
2022-07-17,1.0625
2022-07-18,1
2022-07-19,1.0625
2022-07-20,0.25
2022-07-21,0.75
2022-07-22,0.625
2022-07-23,0.75
2022-07-24,0.875
2022-07-25,0.75
2022-07-26,2
2022-07-27,2.125
2022-07-28,1.75
2022-07-29,2.625
2022-07-30,2.125
2022-07-31,1.625
2022-08-01,1.375
2022-08-02,1.25
2022-08-03,1.125
2022-08-04,1.5
2022-08-05,1.5
2022-08-06,1.25
2022-08-07,1.125
2022-08-08,1.375
2022-08-09,1.5
2022-08-10,1.375
2022-08-11,1.5
2022-08-12,1.125
2022-08-13,1.5
2022-08-14,1.375
2022-08-15,1.375
2022-08-16,1.33333333333333
2022-08-17,1.55555555555556
2022-08-18,1
2022-08-19,1
2022-08-20,1
2022-08-21,1.25
2022-08-22,1.25
2022-08-23,1.25
2022-08-24,1.25
2022-08-25,1.25
2022-08-31,3.375
2022-09-01,4.38461538461539
2022-09-02,6.11111111111111
2022-09-05,5
2022-09-06,4.625
2022-09-07,5.25
2022-09-08,5.75
2022-09-09,9.75
2022-09-10,5.625
2022-09-11,6.125
2022-09-12,6.625
2022-09-13,5.125
2022-09-14,5
2022-09-15,4.5
2022-09-16,5.75
2022-09-17,6
2022-09-18,6.125
2022-09-19,6
2022-09-20,6
2022-09-21,6
2022-09-22,7
2022-09-23,6.5
2022-09-24,6
2022-09-25,7
2022-09-26,7
2022-09-27,7.125
2022-09-28,7.75
2022-09-29,8.625
2022-09-30,6
2022-10-01,6.375
2022-10-02,9.125
2022-10-03,9.25
2022-10-04,8.75
2022-10-05,8.875
2022-10-06,8.875
2022-10-07,9
2022-10-08,8.5
2022-10-09,7.875
2022-10-10,7.875
2022-10-11,8.125
2022-10-12,7.75
2022-10-13,6.5
2022-10-14,7.125
2022-10-15,8.125
2022-10-16,5.75
2022-10-17,11.5
2022-10-18,8.75
2022-10-19,7.875
2022-10-20,7.875
2022-10-21,7.75
2022-10-22,8
2022-10-23,6
2022-10-24,7
2022-10-25,7.625
2022-10-26,8.5
2022-10-27,9.25
2022-10-28,9.125
2022-10-29,9
2022-10-30,9.5
2022-10-31,9.25
2022-11-01,7.875
2022-11-02,8.86666666666667
2022-11-03,9.5
2022-11-04,9.5
2022-11-07,10
2022-11-08,9.625
2022-11-09,10
2022-11-10,10
2022-11-11,10
2022-11-12,10
2022-11-13,10
2022-11-14,9.5
2022-11-15,9
2022-11-16,9
2022-11-17,9
2022-11-18,9
2022-11-19,9
2022-11-21,9
2022-11-24,9
2022-11-25,9
2022-11-26,9
2022-11-27,9
2022-11-28,9
2022-11-29,9
2022-11-30,9
2022-12-01,9
2022-12-02,9
2022-12-03,9
2022-12-04,9
2022-12-05,9
2022-12-06,8.25
2022-12-07,8
2022-12-08,8
2022-12-09,8
2022-12-10,8
2022-12-11,8
2022-12-12,8
2022-12-13,8
2022-12-14,8
2022-12-15,8
2022-12-16,8
2022-12-17,8
2022-12-18,8
2022-12-19,8
2022-12-20,8
2022-12-21,8
2022-12-22,8
2022-12-23,8
2022-12-24,8
2022-12-25,8
2022-12-26,8
2022-12-27,8
2022-12-28,8
2022-12-29,8
2022-12-30,8
2022-12-31,8
2023-01-01,8
2023-01-02,8
2023-01-03,8
2023-01-04,8
2023-01-05,8
2023-01-06,8
2023-01-07,8
2023-01-08,8
2023-01-09,8
2023-01-10,8
2023-01-11,8
2023-01-12,8
2023-01-13,8
2023-01-14,8
2023-01-15,8
2023-01-16,8
2023-01-17,8
2023-01-18,8
2023-01-19,8
2023-01-20,8
2023-01-21,8
2023-01-22,8
2023-01-23,8
2023-01-24,8
2023-01-25,8
2023-01-26,8
2023-01-27,7.25
2023-01-28,7.25
2023-01-29,7.5
2023-01-30,7.75
2023-01-31,7
2023-02-01,7
2023-02-02,7
2023-02-03,7
2023-02-04,7
2023-02-05,7
2023-02-06,7.5
2023-02-07,7.75
2023-02-08,7
2023-02-09,7
2023-02-10,7
2023-02-13,7
2023-02-14,7
2023-02-15,6.25
2023-02-16,6.75
2023-02-17,6.5
2023-02-18,6.25
2023-02-19,6.5
2023-02-20,7
2023-02-21,6.5
2023-02-22,7
2023-02-23,6
2023-02-24,6
2023-02-25,6
2023-02-26,6
2023-02-27,6.75
2023-02-28,6
2023-03-01,6
2023-03-02,6
2023-03-03,6
2023-03-04,6
2023-03-05,6
2023-03-06,6
2023-03-07,6
2023-06-28,1.375
2023-06-29,1.71428571428571
2023-06-30,0.875
2023-07-01,0.75
2023-07-02,0.25
2023-07-03,0.75
2023-07-04,0.5
2023-07-05,2
2023-07-06,1.75
2023-07-07,0.25
2023-07-08,0.75
2023-07-09,0.6
2023-07-10,3
2023-07-11,1.75
2023-07-12,2.5
2023-07-13,4
2023-07-14,0.75
2023-07-15,1.25
2023-07-16,1.5
2023-07-17,4
2023-07-18,0.75
2023-07-19,2
2023-07-20,1.75
2023-07-21,1.75
2023-07-24,2.42857142857143
2023-07-25,2
2023-07-26,2.5
2023-07-27,2.125
2023-07-28,2.125
2023-07-29,1.25
2023-07-30,2
2023-07-31,2.5
2023-08-01,2.875
2023-08-02,3.25
2023-08-03,3
2023-08-04,3.5
2023-08-05,4
2023-08-06,4.125
2023-08-07,5
2023-08-08,6
2023-08-09,6.625
2023-08-10,7.625
2023-08-11,8.75
2023-08-12,10.375
2023-08-13,10.5
2023-08-14,11.125
2023-08-15,11.875
2023-08-16,12.375
2023-08-17,12
2023-08-18,12.5
2023-08-19,13
2023-08-20,13.125
2023-08-21,14.25
2023-08-22,15
2023-08-23,15.875
2023-08-24,17.125
2023-08-25,18.75
2023-08-28,21
